passengers,YEAR_,MONTH_,DATE_
2568027.0,1974.0,1.0,JAN 1974
2223459.0,1974.0,2.0,FEB 1974
2776614.0,1974.0,3.0,MAR 1974
3280998.0,1974.0,4.0,APR 1974
3352545.0,1974.0,5.0,MAY 1974
3902043.0,1974.0,6.0,JUN 1974
4494879.0,1974.0,7.0,JUL 1974
4632681.0,1974.0,8.0,AUG 1974
4318593.0,1974.0,9.0,SEP 1974
3417636.0,1974.0,10.0,OCT 1974
2573868.0,1974.0,11.0,NOV 1974
2547042.0,1974.0,12.0,DEC 1974
2505975.0,1975.0,1.0,JAN 1975
2185866.0,1975.0,2.0,FEB 1975
2903610.0,1975.0,3.0,MAR 1975
3099618.0,1975.0,4.0,APR 1975
3658422.0,1975.0,5.0,MAY 1975
4076472.0,1975.0,6.0,JUN 1975
4782486.0,1975.0,7.0,JUL 1975
4996848.0,1975.0,8.0,AUG 1975
4517715.0,1975.0,9.0,SEP 1975
3765096.0,1975.0,10.0,OCT 1975
2679444.0,1975.0,11.0,NOV 1975
2674236.0,1975.0,12.0,DEC 1975
2703186.0,1976.0,1.0,JAN 1976
2419050.0,1976.0,2.0,FEB 1976
2994647.0,1976.0,3.0,MAR 1976
3536033.0,1976.0,4.0,APR 1976
3906095.0,1976.0,5.0,MAY 1976
4274977.0,1976.0,6.0,JUN 1976
5053999.0,1976.0,7.0,JUL 1976
5138735.0,1976.0,8.0,AUG 1976
4757784.0,1976.0,9.0,SEP 1976
3982849.0,1976.0,10.0,OCT 1976
2983808.0,1976.0,11.0,NOV 1976
2914613.0,1976.0,12.0,DEC 1976
2955452.0,1977.0,1.0,JAN 1977
2644937.0,1977.0,2.0,FEB 1977
3371198.0,1977.0,3.0,MAR 1977
3340945.0,1977.0,4.0,APR 1977
3998445.0,1977.0,5.0,MAY 1977
4561345.0,1977.0,6.0,JUN 1977
5451880.0,1977.0,7.0,JUL 1977
5039909.0,1977.0,8.0,AUG 1977
4516740.0,1977.0,9.0,SEP 1977
3880263.0,1977.0,10.0,OCT 1977
3122215.0,1977.0,11.0,NOV 1977
3043898.0,1977.0,12.0,DEC 1977
