temperature,YEAR_,DATE_
8.83,1659.0,1659
9.08,1660.0,1660
9.75,1661.0,1661
9.5,1662.0,1662
8.58,1663.0,1663
9.33,1664.0,1664
8.25,1665.0,1665
9.83,1666.0,1666
8.5,1667.0,1667
9.5,1668.0,1668
9.0,1669.0,1669
8.92,1670.0,1670
9.04,1671.0,1671
8.79,1672.0,1672
8.33,1673.0,1673
8.08,1674.0,1674
7.83,1675.0,1675
8.83,1676.0,1676
8.75,1677.0,1677
8.42,1678.0,1678
8.71,1679.0,1679
8.88,1680.0,1680
8.71,1681.0,1681
9.0,1682.0,1682
8.46,1683.0,1683
7.92,1684.0,1684
9.13,1685.0,1685
10.13,1686.0,1686
8.96,1687.0,1687
7.83,1688.0,1688
8.54,1689.0,1689
8.92,1690.0,1690
8.13,1691.0,1691
7.71,1692.0,1692
8.46,1693.0,1693
7.67,1694.0,1694
7.25,1695.0,1695
8.5,1696.0,1696
8.0,1697.0,1697
7.63,1698.0,1698
8.8,1699.0,1699
8.57,1700.0,1700
8.71,1701.0,1701
9.29,1702.0,1702
9.06,1703.0,1703
9.05,1704.0,1704
8.71,1705.0,1705
9.78,1706.0,1706
9.38,1707.0,1707
9.67,1708.0,1708
8.71,1709.0,1709
9.46,1710.0,1710
9.38,1711.0,1711
9.13,1712.0,1712
8.63,1713.0,1713
9.42,1714.0,1714
9.42,1715.0,1715
8.38,1716.0,1716
9.0,1717.0,1717
9.25,1718.0,1718
9.46,1719.0,1719
9.08,1720.0,1720
8.88,1721.0,1721
9.35,1722.0,1722
9.77,1723.0,1723
9.27,1724.0,1724
8.66,1725.0,1725
9.34,1726.0,1726
9.94,1727.0,1727
9.52,1728.0,1728
9.26,1729.0,1729
10.04,1730.0,1730
9.85,1731.0,1731
9.69,1732.0,1732
10.47,1733.0,1733
9.8,1734.0,1734
9.54,1735.0,1735
10.3,1736.0,1736
9.92,1737.0,1737
9.81,1738.0,1738
9.2,1739.0,1739
6.84,1740.0,1740
9.3,1741.0,1741
8.36,1742.0,1742
9.81,1743.0,1743
8.78,1744.0,1744
8.81,1745.0,1745
8.61,1746.0,1746
9.82,1747.0,1747
8.77,1748.0,1748
9.44,1749.0,1749
9.69,1750.0,1750
8.42,1751.0,1751
9.19,1752.0,1752
9.08,1753.0,1753
8.83,1754.0,1754
8.54,1755.0,1755
8.77,1756.0,1756
8.95,1757.0,1757
8.95,1758.0,1758
10.0,1759.0,1759
9.83,1760.0,1760
10.0,1761.0,1761
9.58,1762.0,1762
8.93,1763.0,1763
8.72,1764.0,1764
8.5,1765.0,1765
8.63,1766.0,1766
8.69,1767.0,1767
8.93,1768.0,1768
8.77,1769.0,1769
8.51,1770.0,1770
8.55,1771.0,1771
9.15,1772.0,1772
9.24,1773.0,1773
9.07,1774.0,1774
10.09,1775.0,1775
9.01,1776.0,1776
9.08,1777.0,1777
9.2,1778.0,1778
10.4,1779.0,1779
9.09,1780.0,1780
10.2,1781.0,1781
8.01,1782.0,1782
9.28,1783.0,1783
7.83,1784.0,1784
8.54,1785.0,1785
8.25,1786.0,1786
9.28,1787.0,1787
9.21,1788.0,1788
8.91,1789.0,1789
9.44,1790.0,1790
9.27,1791.0,1791
9.19,1792.0,1792
9.09,1793.0,1793
9.89,1794.0,1794
8.67,1795.0,1795
9.02,1796.0,1796
9.0,1797.0,1797
9.61,1798.0,1798
7.89,1799.0,1799
9.23,1800.0,1800
9.6,1801.0,1801
8.95,1802.0,1802
9.05,1803.0,1803
9.57,1804.0,1804
8.97,1805.0,1805
9.8,1806.0,1806
8.65,1807.0,1807
8.84,1808.0,1808
8.93,1809.0,1809
8.76,1810.0,1810
9.67,1811.0,1811
8.2,1812.0,1812
8.71,1813.0,1813
7.75,1814.0,1814
9.06,1815.0,1815
7.87,1816.0,1816
8.89,1817.0,1817
9.84,1818.0,1818
9.23,1819.0,1819
8.55,1820.0,1820
9.51,1821.0,1821
10.05,1822.0,1822
8.38,1823.0,1823
9.31,1824.0,1824
9.72,1825.0,1825
10.07,1826.0,1826
9.46,1827.0,1827
10.3,1828.0,1828
8.16,1829.0,1829
8.68,1830.0,1830
10.09,1831.0,1831
9.47,1832.0,1832
9.49,1833.0,1833
10.47,1834.0,1834
9.55,1835.0,1835
8.86,1836.0,1836
8.82,1837.0,1837
8.05,1838.0,1838
8.68,1839.0,1839
8.51,1840.0,1840
8.71,1841.0,1841
9.22,1842.0,1842
9.06,1843.0,1843
8.59,1844.0,1844
8.26,1845.0,1845
10.15,1846.0,1846
9.22,1847.0,1847
9.42,1848.0,1848
9.3,1849.0,1849
9.1,1850.0,1850
9.14,1851.0,1851
9.8,1852.0,1852
8.37,1853.0,1853
9.31,1854.0,1854
8.02,1855.0,1855
9.08,1856.0,1856
10.07,1857.0,1857
9.12,1858.0,1858
9.61,1859.0,1859
7.89,1860.0,1860
9.13,1861.0,1861
9.17,1862.0,1862
9.67,1863.0,1863
8.85,1864.0,1864
9.69,1865.0,1865
9.65,1866.0,1866
9.02,1867.0,1867
10.38,1868.0,1868
9.62,1869.0,1869
8.98,1870.0,1870
9.05,1871.0,1871
9.75,1872.0,1872
8.98,1873.0,1873
9.3,1874.0,1874
9.43,1875.0,1875
9.51,1876.0,1876
9.17,1877.0,1877
9.24,1878.0,1878
7.42,1879.0,1879
9.09,1880.0,1880
8.56,1881.0,1881
9.45,1882.0,1882
9.02,1883.0,1883
9.83,1884.0,1884
8.57,1885.0,1885
8.7,1886.0,1886
8.27,1887.0,1887
8.22,1888.0,1888
8.99,1889.0,1889
8.73,1890.0,1890
8.49,1891.0,1891
8.17,1892.0,1892
9.97,1893.0,1893
9.3,1894.0,1894
8.65,1895.0,1895
9.33,1896.0,1896
9.42,1897.0,1897
10.07,1898.0,1898
9.69,1899.0,1899
9.56,1900.0,1900
9.11,1901.0,1901
8.83,1902.0,1902
9.32,1903.0,1903
9.0,1904.0,1904
9.13,1905.0,1905
9.43,1906.0,1906
8.84,1907.0,1907
9.27,1908.0,1908
8.55,1909.0,1909
9.17,1910.0,1910
10.05,1911.0,1911
9.36,1912.0,1912
9.8,1913.0,1913
9.88,1914.0,1914
8.93,1915.0,1915
9.18,1916.0,1916
8.51,1917.0,1917
9.51,1918.0,1918
8.48,1919.0,1919
9.57,1920.0,1920
10.47,1921.0,1921
8.67,1922.0,1922
9.08,1923.0,1923
9.27,1924.0,1924
9.17,1925.0,1925
9.72,1926.0,1926
9.2,1927.0,1927
9.57,1928.0,1928
9.01,1929.0,1929
9.43,1930.0,1930
8.99,1931.0,1931
9.38,1932.0,1932
9.83,1933.0,1933
9.99,1934.0,1934
9.72,1935.0,1935
9.32,1936.0,1936
9.57,1937.0,1937
10.18,1938.0,1938
9.68,1939.0,1939
9.05,1940.0,1940
9.09,1941.0,1941
9.05,1942.0,1942
10.03,1943.0,1943
9.57,1944.0,1944
10.27,1945.0,1945
9.45,1946.0,1946
9.57,1947.0,1947
10.01,1948.0,1948
10.62,1949.0,1949
9.41,1950.0,1950
9.27,1951.0,1951
9.1,1952.0,1952
9.84,1953.0,1953
9.22,1954.0,1954
9.28,1955.0,1955
8.83,1956.0,1956
10.02,1957.0,1957
9.42,1958.0,1958
10.48,1959.0,1959
9.73,1960.0,1960
9.94,1961.0,1961
8.59,1962.0,1962
8.47,1963.0,1963
9.47,1964.0,1964
8.95,1965.0,1965
9.45,1966.0,1966
9.61,1967.0,1967
9.3,1968.0,1968
9.26,1969.0,1969
9.57,1970.0,1970
9.68,1971.0,1971
9.19,1972.0,1972
9.54,1973.0,1973
9.62,1974.0,1974
10.0,1975.0,1975
10.08,1976.0,1976
9.48,1977.0,1977
9.42,1978.0,1978
8.81,1979.0,1979
9.42,1980.0,1980
9.24,1981.0,1981
9.84,1982.0,1982
10.03,1983.0,1983
9.73,1984.0,1984
8.86,1985.0,1985
8.74,1986.0,1986
9.05,1987.0,1987
9.77,1988.0,1988
10.5,1989.0,1989
10.63,1990.0,1990
9.52,1991.0,1991
9.86,1992.0,1992
9.49,1993.0,1993
10.24,1994.0,1994
10.52,1995.0,1995
9.2,1996.0,1996
10.53,1997.0,1997
10.34,1998.0,1998
10.63,1999.0,1999
10.3,2000.0,2000
9.93,2001.0,2001
10.6,2002.0,2002
10.5,2003.0,2003
10.49,2004.0,2004
