region,authority,houseprice,income
East Midlands,Amber Valley             ,84828.0,28509.0
East Midlands,Bolsover                 ,72854.0,23322.0
East Midlands,Chesterfield             ,92295.0,28409.0
East Midlands,Derby UA                 ,77947.0,29268.0
East Midlands,Derbyshire Dales         ,115592.0,38124.0
East Midlands,Erewash                  ,85165.0,29059.0
East Midlands,High Peak                ,102545.0,29983.0
East Midlands,NE Derbyshire            ,92422.0,27308.0
East Midlands,S Derbyshire             ,84987.0,33113.0
East Midlands,Blaby                    ,101999.0,34106.0
East Midlands,Charnwood                ,95923.0,31159.0
East Midlands,Harborough               ,106806.0,34789.0
East Midlands,Hinckley and Bosworth    ,96973.0,33694.0
East Midlands,Leicester UA             ,77470.0,24860.0
East Midlands,Melton                   ,96749.0,32556.0
East Midlands,NW Leicestershire        ,87224.0,26382.0
East Midlands,Oadby and Wigston        ,94839.0,29908.0
East Midlands,Rutland UA               ,111727.0,33958.0
East Midlands,Boston                   ,80117.0,23920.0
East Midlands,East Lindsey             ,82959.0,24631.0
East Midlands,Lincoln                  ,74562.0,25101.0
East Midlands,N Kesteven               ,87989.0,25562.0
East Midlands,S Holland                ,85823.0,29840.0
East Midlands,S Kesteven               ,90942.0,28603.0
East Midlands,W Lindsey                ,83980.0,24290.0
East Midlands,Corby                    ,71590.0,26879.0
East Midlands,Daventry                 ,98061.0,33443.0
East Midlands,E Northamptonshire       ,89800.0,32334.0
East Midlands,Kettering                ,82014.0,29923.0
East Midlands,Northampton              ,94910.0,31691.0
East Midlands,S Northamptonshire       ,129589.0,39600.0
East Midlands,Wellingborough           ,82987.0,30105.0
East Midlands,Ashfield                 ,80472.0,26322.0
East Midlands,Bassetlaw                ,78354.0,26835.0
East Midlands,Broxtowe                 ,90447.0,31103.0
East Midlands,Gedling                  ,92517.0,31384.0
East Midlands,Mansfield                ,81539.0,26590.0
East Midlands,Newark and Sherwood      ,91314.0,32435.0
East Midlands,Nottingham UA            ,80905.0,24197.0
East Midlands,Rushcliffe               ,114239.0,40432.0
Eastern,Bedford                  ,114652.0,32625.0
Eastern,Luton UA                 ,112390.0,30268.0
Eastern,Mid Bedfordshire         ,129384.0,34416.0
Eastern,S Bedfordshire           ,130902.0,32323.0
Eastern,Cambridge                ,159048.0,31608.0
Eastern,E Cambridgeshire         ,116500.0,33677.0
Eastern,Fenland                  ,83301.0,24302.0
Eastern,Huntingdonshire          ,101887.0,34489.0
Eastern,Peterborough UA          ,87660.0,31309.0
Eastern,S Cambridgeshire         ,142627.0,35232.0
Eastern,Basildon                 ,135282.0,35747.0
Eastern,Braintree                ,121018.0,33054.0
Eastern,Brentwood                ,127838.0,43020.0
Eastern,Castle Point             ,112224.0,35587.0
Eastern,Chelmsford               ,137169.0,33215.0
Eastern,Colchester               ,113391.0,38605.0
Eastern,Epping Forest            ,186202.0,46478.0
Eastern,Harlow                   ,128615.0,30282.0
Eastern,Maldon                   ,128035.0,40902.0
Eastern,Rochford                 ,145167.0,40528.0
Eastern,Southend-on-Sea UA       ,120796.0,31870.0
Eastern,Tendring                 ,104679.0,27232.0
Eastern,Thurrock UA              ,115874.0,34359.0
