year,week,date,clostridium,rsv,rotavirus,salmonella
1996.0,27.0,W27 1996,201.0,7.0,155.0,132.0
1996.0,28.0,W28 1996,177.0,2.0,118.0,107.0
1996.0,29.0,W29 1996,168.0,1.0,90.0,106.0
1996.0,30.0,W30 1996,183.0,3.0,79.0,117.0
1996.0,31.0,W31 1996,198.0,3.0,70.0,96.0
1996.0,32.0,W32 1996,196.0,2.0,49.0,131.0
1996.0,33.0,W33 1996,206.0,3.0,61.0,117.0
1996.0,34.0,W34 1996,215.0,4.0,36.0,140.0
1996.0,35.0,W35 1996,184.0,3.0,30.0,94.0
1996.0,36.0,W36 1996,194.0,4.0,24.0,135.0
1996.0,37.0,W37 1996,220.0,6.0,34.0,137.0
1996.0,38.0,W38 1996,203.0,12.0,27.0,101.0
1996.0,39.0,W39 1996,224.0,6.0,41.0,87.0
1996.0,40.0,W40 1996,214.0,13.0,45.0,95.0
1996.0,41.0,W41 1996,236.0,18.0,45.0,82.0
1996.0,42.0,W42 1996,234.0,36.0,56.0,71.0
1996.0,43.0,W43 1996,228.0,44.0,59.0,67.0
1996.0,44.0,W44 1996,217.0,76.0,50.0,77.0
1996.0,45.0,W45 1996,211.0,99.0,31.0,65.0
1996.0,46.0,W46 1996,219.0,163.0,32.0,58.0
1996.0,47.0,W47 1996,237.0,354.0,57.0,50.0
1996.0,48.0,W48 1996,219.0,519.0,83.0,64.0
1996.0,49.0,W49 1996,261.0,759.0,83.0,45.0
1996.0,50.0,W50 1996,203.0,983.0,91.0,67.0
1996.0,51.0,W51 1996,224.0,1220.0,124.0,49.0
1996.0,52.0,W52 1996,173.0,833.0,84.0,25.0
1997.0,1.0,W01 1997,234.0,885.0,102.0,57.0
1997.0,2.0,W02 1997,327.0,602.0,142.0,43.0
1997.0,3.0,W03 1997,395.0,365.0,229.0,51.0
1997.0,4.0,W04 1997,429.0,437.0,330.0,44.0
1997.0,5.0,W05 1997,474.0,515.0,440.0,38.0
1997.0,6.0,W06 1997,464.0,439.0,559.0,30.0
1997.0,7.0,W07 1997,446.0,315.0,587.0,43.0
1997.0,8.0,W08 1997,379.0,278.0,674.0,43.0
1997.0,9.0,W09 1997,388.0,208.0,618.0,45.0
1997.0,10.0,W10 1997,389.0,137.0,778.0,40.0
1997.0,11.0,W11 1997,389.0,98.0,921.0,35.0
1997.0,12.0,W12 1997,325.0,73.0,771.0,56.0
1997.0,13.0,W13 1997,274.0,61.0,679.0,35.0
1997.0,14.0,W14 1997,299.0,49.0,571.0,33.0
1997.0,15.0,W15 1997,310.0,31.0,699.0,41.0
1997.0,16.0,W16 1997,287.0,23.0,718.0,50.0
1997.0,17.0,W17 1997,278.0,18.0,844.0,50.0
1997.0,18.0,W18 1997,249.0,10.0,761.0,66.0
1997.0,19.0,W19 1997,261.0,15.0,569.0,56.0
1997.0,20.0,W20 1997,280.0,10.0,538.0,67.0
1997.0,21.0,W21 1997,293.0,7.0,405.0,84.0
1997.0,22.0,W22 1997,260.0,16.0,291.0,77.0
1997.0,23.0,W23 1997,271.0,12.0,337.0,93.0
1997.0,24.0,W24 1997,252.0,5.0,267.0,101.0
1997.0,25.0,W25 1997,267.0,9.0,208.0,82.0
1997.0,26.0,W26 1997,287.0,6.0,174.0,166.0
1997.0,27.0,W27 1997,284.0,11.0,134.0,118.0
1997.0,28.0,W28 1997,273.0,13.0,124.0,77.0
1997.0,29.0,W29 1997,281.0,4.0,89.0,84.0
1997.0,30.0,W30 1997,285.0,7.0,82.0,68.0
1997.0,31.0,W31 1997,310.0,5.0,80.0,93.0
1997.0,32.0,W32 1997,306.0,13.0,72.0,81.0
1997.0,33.0,W33 1997,289.0,4.0,43.0,79.0
1997.0,34.0,W34 1997,303.0,5.0,21.0,94.0
1997.0,35.0,W35 1997,255.0,9.0,26.0,82.0
1997.0,36.0,W36 1997,267.0,8.0,30.0,89.0
